acid,SCN3,protein
PI417039,S,47.2
PI417068,S,43.2
PI417069,MS,41.7
PI417081,S,44.6
PI417116,S,44.2
PI417126,S,43.8
PI417097,MS,44.6
PI417113,MS,43.5
PI417135B,,46.6
PI417184C,,
PI417280,S,45.5
PI417313,S,44.6
PI417320,,44.3
PI417396,S,45.7
PI417275,S,42.9
PI417402,S,42
PI417484,S,42.1
PI417423,S,43.5
PI417428,S,48.2
PI417569,S,45.5
PI423807,S,47
PI423817,MS,45.1
PI423820,S,46.3
PI423822,S,43.8
PI423824,MS,46.7
PI423828,MS,47.7
PI423831,S,50.3
PI423832,MS,44.4
PI423834,S,47.7
PI423837B,S,45
PI423874,S,40.8
PI423875,MS,44.3
PI423876,S,44.4
PI423878,S,47.3
PI423898,S,43.7
PI423900,S,49.1
PI423901-1,S,41
PI423901-2,S,41.5
PI423904,S,45.6
PI423905,S,45.3
PI423909,S,48
PI423913,S,44.5
PI423917,S,44.4
PI423918,S,44
PI423931,MS,42
PI423957,S,48
PI423966,S,50.4
PI423984,S,42.3
PI423985,MS,42.4
PI424038B,S,
PI424038C,,
PI424131,S,41.9
PI424137A,S,48
PI424137B,,44
PI424144,S,47.4
PI423908,S,40.9
PI423969,S,44.5
PI424251B,S,46.5
PI424514,S,44.7
PI424560,S,45.6
PI424586,MS,44.7
PI424589,MS,50.3
PI424591,S,45.9
PI424594,S,45
PI424595,S,43.4
PI424603,MS,48.2
PI424605B,MS,46.2
PI424606,S,46.6
PI424616,S,46.3
PI427241,S,44.9
PI427276,S,46
PI429328,S,43.8
PI429329,S,44.3
PI437126C,S,47.9
PI437708,S,41.3
PI437813,S,45.3
PI438278,S,47.1
PI438282B,S,45.4
PI438294,S,41.3
PI438297,S,44.6
PI438302B,S,40.2
PI438342,MS,37.8
PI438343,MS,42.7
PI438344,MS,45.8
PI424551,S,41.7
PI437562,S,46.9
PI437586B,S,44.7
PI437726,S,43.5
PI441353,S,43.5
PI441355,S,45.8
PI441358,S,45
PI441359,S,46.4
PI441373A,,
PI441373B,,
PI441378,S,44.1
PI442003A,S,44.9
PI442009A,S,48.2
PI442020,S,48
PI445683,S,48.5
PI458027,S,45.3
PI458032,S,48.1
PI458033,S,46.1
PI458044,MS,44.8
PI458045B,S,46
PI458048,S,46.7
PI458059,S,46.5
PI458068,S,46.5
PI458073,S,43.6
PI458076,S,44.5
PI458081,S,46.1
PI458083,S,49.6
PI458093,S,47
PI458094,S,45.3
PI458096,S,45.3
PI458097,S,47.4
PI458099,S,44.8
PI458100,S,46.1
PI458107,S,47
PI458122,S,42.6
PI458126,S,46
PI458128,S,46.3
PI458133,S,
PI458155,S,45.4
PI458161,S,46
PI458167,S,46.4
PI458170,S,44.8
PI458182,S,45.6
PI458186,S,51.3
PI458192,S,50.7
PI458210,S,44.4
PI458124,S,45.8
PI458159,S,46.6
PI458219,S,45.6
PI458220,S,48.9
PI458238,S,46.9
PI458245,S,46
PI458250,S,43.8
PI458270,S,48.5
PI458278A,S,47.6
PI458281A,S,44.6
PI458283,MS,46
PI486328,S,44
PI506487,S,44.2
PI476898,S,47.7
PI476905A,,
PI476927,S,45.3
PI476933,MS,48.2
PI486335,MS,47.6
PI506532,S,44.3
PI506568,S,43.4
PI506632,S,44.9
PI506543,S,42.9
PI506730,,43.9
PI506735A,S,46
PI506742,S,43.4
PI506783,S,43.1
PI506810,S,47.7
PI506656,S,44.1
PI506680,S,45.9
PI506786,S,44.7
PI506813,S,45.9
PI506856,S,46.8
PI506871,S,43.5
PI506910,S,42.1
PI506914,S,43.7
PI506919,S,44
PI507001,S,43.6
PI506831,S,42.3
PI507372,S,42.8
PI507438,S,42
PI507454,S,40.8
PI507459,S,41.2
PI507462,S,45.4
PI532461,,45.6
PI561393,,43.3
PI561396,,43.1
PI561399,,
PI566960,,49.7
PI566985A,,48.1
PI566989A,,47.2
PI567002B,,45.2
PI567007B,,51.6
PI567078,,46.1
PI567079,,46.1
PI567081,,
PI567082A,,47.8
PI567082B,,49.9
PI567083A,,48
PI567084,,48.4
PI567085A,,50.5
PI567087B,,46.9
PI567189B,,43.2
PI567268,,47.6
PI567183,,43.6
PI567233,,44.8
PI567234A,,48.6
PI567295,,43.4
PI567316B,S,48.6
PI567320,S,45.8
PI567344B,S,
PI567346,S,45.2
PI567375D,S,45
PI567415B,MS,41.8
PI567472,MS,47.2
PI567634,S,43.7
PI567670,,45.8
PI567755C,,44.1
PI572265B,,45.1
PI572265C,,44.9
PI578308B,,42.1
PI567391,,43.1
PI578309,,42.8
PI578310,,50
PI578315B,,43.7
PI578319D,,
PI578319E,,46.6
PI578324C,,44.6
PI578328C,,41.1
PI578461,,47.3
PI578311B,,
PI578313A,,
PI578315A,,44.8
PI578485B,,46
PI587550A,,44.6
PI587550C,,45.6
PI587551,,
PI578498B,,46.7
PI587557C,,44.8
PI587563A,,42
PI587587B,,45
PI587595B,,45.8
PI587597C,,45.3
PI587627A,,45.7
PI587612F,,47
PI587618A,,46.9
PI587641A,,42.5
PI587654,,45.6
PI587659B,,45.8
PI587663,,45.6
PI587665,,47.5
PI587667,,45.3
PI587672,,48.6
PI587684B,,45.8
PI587706,,44.4
PI587708,,44.2
PI587715,,47
PI587717,,45.5
PI587651,,46.8
PI587655,,46.1
PI587662A,,
PI587671,,46.4
PI587682A,,48.3
PI587683,,45.2
PI587718,,44.5
PI587719A,,46.8
PI587719C,,45.6
PI587720,,43.7
PI587721A,,45.4
PI587725A,,50.3
PI587725B,,46.8
PI587727,,46.2
PI587728,,46.4
PI587729,,44.6
PI587730B,,47
PI587730C,,
PI587731,,45.3
PI587732,,43.6
PI587734,,44.1
PI587736A,,44.9
PI587736B,,44.3
PI587737,,44.7
PI587738,,47.6
PI587741,,44.4
PI587742A,,43.3
PI587742C,,43
PI587744,,37.3
PI587745,,46.2
PI587759,,43.6
PI587760,,46.1
PI587761,,45
PI587762,,41.8
PI587763,,41.7
PI587764,,46.3
PI587765,,48.3
PI587766,,45.7
PI587767A,,46.9
PI587768,,44.8
PI587771,,47.5
PI587772,,43.2
PI587780,,50.5
PI587790A,,46.5
PI587723B,,48.4
PI587757A,,46.9
PI587767B,,46.4
PI587770,,47.2
PI587793,,46.9
PI587809A,,44.7
PI587813,,45.2
PI587816,,45.5
PI587818,,44.6
PI587821A,,49.2
PI587833,,43
PI587839A,,43.8
PI587861,,
PI587827,,48.8
PI587854B,,46.8
PI587858,,46.7
PI587869,,45
PI587873,,49.1
PI587875,,45.6
PI587905,,46.8
PI587913B,,47.1
PI587915C,,46.3
PI587915D,,47.2
PI587916D,,45.9
PI587930,,48.1
PI587970B,,46.7
PI587971,,46.3
PI587868,,45.6
PI587892B,,48
PI587941,,
PI587990,,44.6
PI587996B,,47.2
PI587998G,,46.1
PI588020,,50.1
PI588032B,,50.2
PI588032C,,46.4
PI588043,,
PI592904,,44.9
PI593998,,47.7
PI587996A,,47.7
PI588011B,,46.3
PI588017A,,49.2
PI593999B,,42.3
PI594008,,44.3
PI594012,,44.9
PI594014A,,46.3
PI594014B,,47.2
PI594172B,,44.9
PI594217C,,50.5
PI594240,,45.5
PI594427B,,48.1
PI594449,,42.6
PI594468,,49.7
PI594470A,,49.1
PI594471D,,53.7
PI594471E,,51
PI594492A,,47.7
PI594013,,46.4
PI594397B,,45
PI594414B,,46.1
PI594423,,45.9
PI594490,,47.9
PI594547,,47.3
PI594549B,,48.6
PI594573,,47.8
PI594605B,,48.3
PI594627B,,46.1
PI594562B,,
PI594564,,48.6
PI594591A,,51.9
PI594642,,50.4
PI594643,,51.4
PI594652A,,50.5
PI594656,,49
PI594660A,,51
PI594666B,,51.9
PI594669,,47.8
PI594677,,48.8
PI594679,,48.5
PI594683A,,45.7
PI594683C,,49.9
PI594738A,,48.2
PI594739A,,52.4
PI594759A,,42.2
PI594816,,47.1
PI594820B,,46.3
PI594890,,43.7
PI594774,,48
PI594847,,42.9
PI594866,,42.2
PI594903,,50.2
PI597465,,47.1
PI597471E,,
PI597473,,49.6
PI597476,,49
PI599508,,46.1
PI603163,,48.2
PI603520,,45.5
PI603529,,46
PI603563C,,46.3
PI603570D,,41.9
PI603581,,44.1
PI603588,,49.2
PI603591,,46.5
PI603601,,47.3
PI603604,,
PI603458C,,45.6
PI603499,,44.3
PI603511C,,46
PI603534B,,47.1
PI603537D,,48
PI603538A,,45.7
PI603538E,,48.5
PI603540A,,45.7
PI603572,,44.8
PI603673F,,49.4
PI603910C,,47.9
PI605754,,47.2
PI603621,,
PI603639,,
PI603646,,
PI603673E,,42.3
PI603677B,,43.3
PI603681A,,46.1
PI603693B,,48.9
PI603697,,44.8
PI603701,,49.4
PI603713,,50.5
PI605757,,45.1
PI605758D,,45.8
PI605774,,49.4
PI605775,,45.5
PI605787B,,44.8
PI605789A,,48.2
PI605849,,
PI605779A,,47.1
PI605779C,,44.9
PI605779D,,
PI605785,,46.3
PI605786D,,45.8
PI605791B,,47.7
PI605813,,47.9
PI605814,,46.6
PI605827C,,49.5
PI605828A,,49.8
PI605841B,,41.8
PI605854A,,45.4
PI605855,,
PI605857A,,
PI605862A,,46.8
PI605862B,,48.3
PI605867,,48.3
PI605874C,,
PI605876G,,
PI605877B,,46.9
PI605886E,,46.3
PI605887A,,46.5
PI605897C,,46.3
PI605906,,47.8
PI605909A,,46.5
PI605909B,,47.5
PI606372,,48.2
PI606377,,46.1
PI606386,,
PI605861A,,46.3
PI605876C,,47.6
PI605889,,45.9
PI605891C,,43.7
PI605894,,
PI606387,,47.6
PI606397A,,
PI606414,,50.4
PI606418A,,47.8
PI606418B,,46.5
PI606431,,46.5
PI615437,,
PI615457,,
PI615471B,,
PI615475,,
PI615476,,
PI615482,,
PI615487,,
PI615512,,
PI628800,,
PI615445,,
PI615509B,,
PI628803,,
PI628815,,
PI628817,,
PI628822,,
PI628835,,
PI628836,,
PI628837,,
PI628838,,
PI628842,,
PI628844,,
PI628845,,
PI628849,,
PI628851,,
PI628853,,
PI628858,,
PI628862,,
PI628864,,
PI628869,,
PI628883,,
PI628892,,
PI628913,,
PI628914,,
PI628846,,
PI628865,,
PI628881,,
PI628924,,
PI628925,,
PI628927,,
PI628928,,
PI628930,,
PI628931,,
PI628932,,
PI628935,,
PI628936,,
PI628938,,
PI628939,,
PI628940,,
PI628941,,
PI628945,,
PI628947,,
PI628948,,
PI628949,,
PI628950,,
PI628951,,
PI628952,,
PI628953,,
PI628954,,
PI639540,,
PI639561,,
PI639562,,
PI639563,,
PI639564,,
PI639565,,
PI639566A,,
PI639566C,,
PI639566D,,
PI639569,,
PI639570,,
PI639571A,,
PI639571B,,
PI639572,,
PI639573,,
PI639574,,
PI639575,,
PI639576,,
PI639578,,
PI163308,S,
PI165524,S,
PI181699,S,52
PI183485,,52
PI628963,,
PI632641B,,
PI632654,,
PI632944C,,
PI632950,,
PI209839B,,
PI240662B,,
PI281899A,,
PI210350,S,
PI261271,,
PI281890B,,
PI306702A,,
PI307837,S,
PI307838D,,
PI307838E,,
PI307839,S,
PI307846,S,
PI307852A,,
PI307852B,,
PI307866,S,
PI307869,S,
PI307870A,,
PI307873C,,
PI307873D,,
PI307880D,,
PI307882B,,
PI307885,S,
PI307889E,,
PI307889F,,
PI307890,S,
PI307891B,,
PI307893,S,
PI307894,S,
PI285097,S,
PI323278,MS,
PI309655A,,
PI322692,,
PI323576,S,
PI323580,S,
PI341242,MS,45
PI341250,S,47
PI407767,S,52
PI415701A,,
PI416810,S,
PI416825C,,
PI416834,S,44
PI481683,S,45.3
PI482601,S,44
PI416894A,,45
PI417386,S,
PI459025C,,
PI468374B,,45.1
PI497970,S,44.6
PI497964B,,
PI566957,,
PI566972,,50
PI566999B,,45
PI567001B,,51
PI567005C,,57
PI567008,,50
PI567019,,47
PI567038,,48
PI567041D,,50
PI567108C,,53
PI567071B,,
PI567100B,,48
PI578361,,
PI587921,,
PI587922B,,
PI587912,,
PI594529,,
PI594539,,
PI594546,,
PI594575,,
PI594723,,
PI594760B,,
PI594762,,
PI597380,,
PI603774,,
PI615450,,
PI628863,,
PI628904,,
PI628946,,
PI548402S,,44.5
PI548422S,MS,46.1
PI633049,,
PI548304,MS,46.4
PI548511,,42.8
PI518677,,39.3
PI560207,,43.3
PI552538,,45
PI548655,,39.8
PI614153,,43.9
PI601983,,42.3
PI572245,,45.2
PI548325,S,44
PI534646,,42.3
PI592389,,41.4
PI548564,,39.3
PI548327,S,42.1
PI548978,,47.2
PI548454,S,41.8
PI543857,,41.4
PI548347,MS,43.1
PI548589,,39.9
PI614088,,40.3
PI548591,,39.8
PI633609,,42.7
PI548465,S,46
PI539866,,42.6
PI539867,,44.2
PI604100,,41.3
PI607380,,
PI620883,,
PI634335,,
PI548466,MS,43.9
PI576857,,42.7
PI559370,,41.1
PI593258,,40.2
PI548580,,46.9
PI548553,,45.1
PI548467,S,46.9
PI548468,S,45.9
PI548469,S,45.2
PI548470,S,44.4
PI548471,S,44.9
PI548365,MS,43
PI548366,S,43.5
PI548367,MS,47.4
PI648270,,
PI548472,S,45.1
PI602594,,40.3
PI548474,S,39.5
PI614832,,44.3
PI548601,,41.6
PI548535,,41.3
PI548604,,40.9
PI548482,S,44.7
PI548520,,41.4
PI643146,,
PI512039,,39.9
PI548412,,43.8
PI548413,MS,41.9
PI553049,,42
PI548415,S,41.3
PI614702,,
PI548417,S,42.8
PI548619,,38.8
PI525454,,42.6
PI546374,,40
PI553051,,45.8
PI548480,S,47.3
PI548401,S,41.4
PI515961,,41.7
PI536637,,44.5
PI548645,,43.9
PI574534,,43.8
PI548488,,46.7
PI548614,,39.9
PI614807,,40.1
PI593654,,44
PI608438,,35.5
PI614806,,39.8
PI603180,,
PI597662,,
PI597657,,
PI597658,,
PI547810,,
PI547811,,
PI547821,,
PI547823,,
PI547828,,
PI547831,,51
PI546052,,
PI546053,,
PI547683,,
PI547692,,
PI547770,,
PI547694,,
PI547696,,
PI547731,,
PI547700,,
PI547702,,
PI547737,,
PI547738,,
PI547703,,
PI547740,,
PI547772,,
PI547705,,
PI547706,,
PI547707,,
PI547773,,
PI547743,,
PI547744,,
PI547749,,
PI547755,,
PI547778,,
PI547779,,
PI547788,,
PI547789,,42.21
PI591547,,41.87
PI591544,,41.01
PI546044,,
PI591430,,
PI591435,,
PI591431,,
PI547836,,
PI547839,,
PI547841,,
PI547843,,
PI547847,,
PI547892,,
PI591518,,
PI591540,,
PI591533,,
PI591535,,
PI591532,,
PI547402,,
PI547403,,
PI547467,,
PI547437,,
PI547490,,
PI547494,,
PI547497,,
PI547577,,
PI547578,,
PI547579,,
PI547580,,
PI547581,,
PI547582,,
PI547583,,
PI547604,,
PI547605,,
PI547606,,
PI547567,,
PI547568,,
PI547569,,
PI547572,,
PI547573,,
PI547607,,
PI547584,,
PI547617,,
PI547585,,
PI547608,,
PI547609,,42.61
PI547610,,
PI547619,,
PI547628,,
PI547640,,
PI547642,,
PI547586,,
PI547671,,
PI547674,,
PI591490,,
PI591485,,41.23
PI591484,,
PI591495,,
PI591494,,
PI555396,,
PI555397,,
PI561570,,
PI572237,,
PI573286,,
PI574541,,
PI602447,,
PI511356,,
PI511357,,
PI531520,,
PI533657,,
PI555399,,
PI556989,,
PI599811,,
PI602450,,
PI602451,,
PI632425,,
PI632428,,
PI632429,,
PI632430,,
PI632749,,
PI633620,,
PI633729,,
PI633731,,
PI633732,,
PI633735,,
PI633736,,
PI635053,,
PI636444,,
PI636474,,
PI636696,,
PI639282,,
PI639284,,
PI639285,,
PI640911,,
PI642055,,
PI644025,,
PI644043,,
PI644046,,
PI644049,,
PI644050,,
PI652935,,
PI654356,,
PI548668,,
PI632747,,
PI633730,,
PI636694,,
PI614156,,
PI548339,MS,43
PI548399,S,52.2
PI567787,,42.7
PI548410,,41
PI548988,,43.4
PI561300B,,47.7
PI594692,,43.8
PI603147,,56
PI639529B,,
PI639530,,
PI639532,,
PI639533,,
PI639537,,
PI639539A,,
PI639539B,,
PI639541A,,
PI639541B,,
PI639542B,,
PI639543,,
PI639544,,
PI639545A,,
PI639545B,,
PI639546B,,
PI639548,,
PI631122,,
PI404177,,51.4
PI639550B,,
PI639550A,,
PI639549,,
PI639550E,,
PI639551,,
PI639552,,
PI639553,,
PI639555A,,
PI639555C,,
PI639556A,,
PI639556B,,
PI639556C,,
PI639556D,,
PI639556E,,
PI639557A,,
PI639557B,,
PI639559A,,
PI639559B,,
PI639560A,,
PI200538,S,46.3
PI398485,S,44
PI417104,S,41.4
PI504508,S,45.4
PI506623,S,43.3
PI507574,S,48.2
PI587601F,,
PI594543,,
PI628902,,
PI635999,,
PI639636,,
PI639637,,
PI641938,,
PI643913,,
PI643914,,
PI646156,,
PI646157,,
PI647082,,
PI652442,,
PI652443,,
PI653874B,,
PI653848,,
PI101404A,,47.9
PI101404B,S,49.1
PI135624,MS,47.3
PI163453,MS,44.7
PI203246,MS,48.1
PI245331,S,47.1
PI326581,MS,45.2
PI326582A,MS,43.4
PI326582B,S,50.6
PI339731,MS,47
PI339732,MS,46.9
PI339733,MS,48.5
PI339735A,S,46.4
PI339735B,S,47.9
PI339871A,S,46.9
PI339871B,MS,46.1
PI339871C,,48.3
PI342618A,S,49.4
PI342618B,MS,47.7
PI342620A,MS,46.5
PI342620B,MS,49
PI342621A,MS,45.4
PI342621B,S,43.8
PI342621C,S,47.7
PI342622A,MS,46.5
PI349647,S,48.2
PI366119,,50.8
PI366120,MS,54.9
PI366121,MS,47.5
PI366122,,47.6
PI366123,MS,52
PI366124,,48
PI366125,MS,46.4
PI378683,MS,48.8
PI378684A,MS,50.2
PI378684B,MS,53.2
PI378685,S,49.3
PI378686A,MS,47
PI378686B,MS,46.3
PI378687A,MS,47.7
PI378688,,51
PI378689,,50.3
PI378690,,51.7
PI378691,MS,51.2
PI378692,MS,47.8
PI378694,S,49.5
PI378695A,S,47.8
PI378695B,S,48.7
PI378696A,MS,43.4
PI378696B,MS,44.9
PI378697A,MS,44
PI378697B,S,48.8
PI378698,MS,50
PI378699A,S,43
PI378699B,S,51.2
PI378700,S,45.5
PI378701A,MS,51.7
PI378701B,MS,48.6
PI378702,MS,54.9
PI391587,MS,45.7
PI393551,MS,47.4
PI406684,S,50.7
PI407018,,46
PI407019,S,48.6
PI407020,MS,50
PI407021,S,51.7
PI407022,S,53
PI407023,S,48.2
PI407024,MS,48.8
PI407025,MS,52.7
PI407026,S,47.9
PI407027,MS,50.7
PI407028,S,44.3
PI407029,S,53.7
PI407030,S,48.1
PI407031,MS,48.3
PI407032A,,48.4
PI407032B,,45.1
PI407033,MS,42.6
PI407034,MS,50.9
PI407035,S,51
PI407036,S,49.9
PI407037,S,50.9
PI407038,S,50.8
PI407039,S,52.1
PI407040,S,46.3
PI407041,S,45
PI407042,MS,44.8
PI407043,S,51.6
PI407044,S,46.2
PI407045,MS,42.9
PI407046,MS,42.5
PI407047,S,44.6
PI407048,S,51.5
PI407049,S,47.1
PI407050,MS,47.4
PI407051,S,51.3
PI407052,MS,49
PI407053,MS,47.3
PI407054,MS,45.5
PI407055,MS,45.4
PI407056,MS,49
PI407057,S,46.8
PI407058,MS,47.1
PI407059,MS,48.6
PI407060,MS,43.5
PI407061,S,46.8
PI407062,MS,50.8
PI407063,MS,45.9
PI407064,MS,45.9
PI407065,S,47.2
PI407066,MS,45.4
PI407067,MS,49.1
PI407068,S,46
PI407069,S,46.7
PI407071,S,46.8
PI407072,MS,45.5
PI407074,MS,47.1
PI407075,S,47.5
PI407076,MS,47.2
PI407077,S,44.6
PI407078,S,45.7
PI407079,MS,45.5
PI407080,MS,45.3
PI407081,S,46.8
PI407082,S,48.8
PI407083,MS,50.4
PI407084,S,46.5
PI407085,S,45
PI407086,S,48.6
PI407087,S,47.6
PI407088,S,47.8
PI407089,MS,48.2
PI407090,MS,47.2
PI407091,S,47.6
PI407092,MS,48.8
PI407093,MS,47.9
PI407094,MS,46.5
PI407095,MS,49.8
PI407096,MS,47.9
PI407097,MS,50
PI407098,MS,50.7
PI407100,S,50.3
PI407101,MS,47.1
PI407102,MS,50.5
PI407103,MS,46
PI407104,MS,51.6
PI407105,S,50.5
PI407106,S,43.9
PI407107,MS,46.7
PI407108,MS,46.5
PI407109,S,47.8
PI407110,S,45.5
PI407111,MS,47.4
PI407112,MS,45.9
PI407113,S,47.7
PI407114,MS,48.5
PI407115,MS,48.6
PI407116,MS,50
PI407117,MS,48.1
PI407118,MS,45.3
PI407119,MS,49.9
PI407120,S,48.3
PI407121,MS,48.9
PI407122,MS,48.1
PI407123,MS,48.4
PI407124,MS,49
PI407125,MS,48
PI407126,MS,45.8
PI407127,MS,46.8
PI407128,MS,45.9
PI407129,MS,44.2
PI407130,MS,45
PI407131,,49.4
PI407132,MS,42.1
PI407133,MS,50.3
PI407134,,52.2
PI407135,MS,48.3
PI407136,MS,51.4
PI407137,MS,44.1
PI407138,MS,49.7
PI407139,S,50.4
PI407140,MS,46
PI407142,MS,50.3
PI407143,MS,46
PI407145,MS,45.1
PI407146,S,50.2
PI407147,MS,44.9
PI407148,MS,46
PI407149,S,45.1
PI407150,S,44.5
PI407151,S,46.7
PI407152,S,41.9
PI407153,S,48.3
PI407154,MS,44.8
PI407155,MS,48.1
PI407156,MS,43.3
PI407157,S,49.2
PI407158,S,48.1
PI407159,MS,50
PI407160,MS,45.6
PI407161,S,46
PI407162,S,48.7
PI407163,,48
PI407164,MS,49.2
PI407165,S,46.6
PI407166,S,49.4
PI407167,MS,49.6
PI407168,MS,49.7
PI407169,MS,49.3
PI407170,S,50.7
PI407171,MS,49.4
PI407172,S,48.8
PI407173,S,51
PI407174,MS,48.7
PI407175,S,47.7
PI407176,MS,46.6
PI407177,S,47.1
PI407178,MS,50.3
PI407179,MS,47.8
PI407180,S,50.6
PI407181,S,48.6
PI407182,MS,49.6
PI407183,MS,47.6
PI407184,MS,49.1
PI407185,S,46.1
PI407188,S,47.7
PI407189,S,48.6
PI407190,S,49.4
PI407192,MS,48.7
PI407193,S,46.8
PI407194,S,45.9
PI407195,S,46.9
PI407196,S,48.1
PI407197,S,52.9
PI407198,S,49.8
PI407199,S,43
PI407200,MS,51.1
PI407201,S,49.6
PI407202,S,45.7
PI407203,S,50.3
PI407204,S,49.9
PI407206,MS,48.7
PI407207,S,50.4
PI407208,S,44.2
PI407209,MS,54.9
PI407210,MS,46.4
PI407211,S,45.6
PI407212,MS,49.8
PI407214,S,49
PI407215,S,49.6
PI407216,S,48.4
PI407217,MS,47.8
PI407218,MS,43.9
PI407219,MS,49.1
PI407220,S,47.4
PI407221,S,47
PI407222,S,40.5
PI407223,MS,45.1
PI407224,MS,48.4
PI407225,MS,42.3
PI407226,MS,46.5
PI407227,MS,50.7
PI407228,S,53.6
PI407229,MS,42.8
PI407231,MS,49.5
PI407232,MS,54.4
PI407233,S,54
PI407234,MS,53.3
PI407235,S,49.7
PI407236,MS,51.7
PI407237,S,52.8
PI407238,MS,44.3
PI407239,MS,45.4
PI407240,S,48.6
PI407241,S,46.8
PI407242,MS,51.7
PI407243,MS,46.1
PI407244,MS,45.6
PI407245,S,46
PI407246,S,56.8
PI407247,MS,50.4
PI407248,MS,52.1
PI407250,S,45.5
PI407251,S,47.2
PI407252,MS,47.7
PI407253,S,43.3
PI407254,MS,41.3
PI407255,MS,43.1
PI407256,MS,45.8
PI407257,MS,43.8
PI407258,MS,41.8
PI407260,S,42.3
PI407261,S,45.4
PI407262,MS,47.2
PI407263,S,49.8
PI407264,S,44.5
PI407265,S,46.7
PI407266,S,45.7
PI407268,MS,48.8
PI407269,S,50.9
PI407270,MS,44.8
PI407271,S,48.1
PI407272,S,43.8
PI407274,MS,51.4
PI407275,S,48.8
PI407276,S,45.2
PI407277,S,55.1
PI407278,MS,46.1
PI407279,MS,50.5
PI407280,S,50
PI407281,S,48.8
PI407282,S,49.7
PI407283,S,49
PI407284,S,47.7
PI407285,MS,52.7
PI407287,MS,51.7
PI407288,MS,49.3
PI407289,MS,48.9
PI407290,MS,46.5
PI407291,S,50
PI407292,MS,53
PI407293,S,47.2
PI407294,S,52.3
PI407295,S,47.8
PI407296,MS,46.5
PI407297,MS,45.7
PI407298,MS,46.7
PI407299,S,48.4
PI407300,S,47.9
PI407303,,48.9
PI407304,S,52.5
PI407306,MS,48.5
PI407308,S,50.7
PI407309B,MS,44.2
PI407310,S,53.3
PI407311,S,52.4
PI407312,S,53.3
PI407313,S,49.7
PI407314,S,47.4
PI407315,MS,50.5
PI407316A,S,48.4
PI407316B,S,46.6
PI407317,MS,52.1
PI407318A,MS,49.5
PI407318B,S,50.2
PI407319,MS,45.5
PI407320,S,47.3
PI407321,MS,50
PI407322,S,54.6
PI423988,MS,45.3
PI423989A,S,48.5
PI423989B,S,42.6
PI423990A,S,43.3
PI423990B,S,52
PI423991,S,55.2
PI423993,S,45.4
PI423994,MS,42.7
PI423995,MS,46.2
PI423996,MS,45.1
PI423997,MS,42.1
PI423998,S,43.7
PI423999A,S,44.1
PI423999B,MS,43.6
PI424000,MS,45.9
PI424001,S,
PI424002,S,46.9
PI424003,S,44.8
PI424004A,MS,46.2
PI424004B,MS,48.1
PI424006A,S,47.4
PI424006B,MS,48.2
PI424007,MS,46.1
PI424008B,S,45.6
PI424008C,,
PI424009,S,48.5
PI424010,S,46.3
PI424011,MS,51.5
PI424012,MS,46
PI424013,S,50.1
PI424014,S,49.5
PI424015,MS,47.9
PI424016,MS,44.7
PI424017A,MS,49.6
PI424017B,MS,50.5
PI424018,S,49.5
PI424019,S,46.4
PI424020A,S,49.7
PI424021A,S,49.1
PI424021B,S,48.4
PI424022A,MS,50
PI424022B,S,51.2
PI424023,MS,46.8
PI424025A,S,48.1
PI424025B,S,53
PI424025C,S,51.3
PI424026,S,50.6
PI424027A,S,46.9
PI424027B,S,49.6
PI424029,MS,45.7
PI424030,S,50.2
PI424031,S,42.7
PI424032,S,51.7
PI424033,S,49.6
PI424034,MS,47.7
PI424035,S,47
PI424036,MS,53
PI424037,MS,45.1
PI424038A,S,50.1
PI424039A,S,51.4
PI424039B,S,50.8
PI424040,MS,50.3
PI424041,S,45.9
PI424042,MS,52
PI424043A,MS,50.5
PI424043B,MS,50.2
PI424044,MS,50.8
PI424045,S,51.6
PI424046A,,46.3
PI424046B,S,50.9
PI424047,S,49.8
PI424048,S,48.7
PI424049,MS,51.1
PI424051A,S,47.4
PI424051B,MS,50.3
PI424052,S,51
PI424053,S,49.1
PI424054A,MS,48.9
PI424054B,S,44.4
PI424055,MS,49.2
PI424056,S,48.5
PI424057,S,52.2
PI424059A,S,46.2
PI424059B,MS,48.1
PI424060,S,49.3
PI424061A,S,48.7
PI424061B,S,47.7
PI424062,S,48.6
PI424063,S,47.8
PI424064,S,45.5
PI424065,S,46.9
PI424066,MS,46.9
PI424067,S,49.3
PI424068,MS,48.8
PI424069,S,48.5
PI424070A,S,50.3
PI424070B,S,47.4
PI424071,MS,44.3
PI424072A,MS,50.4
PI424072B,MS,53
PI424074,S,47.4
PI424075,S,46.4
PI424076A,S,51.7
PI424077,MS,46.5
PI424079,S,50.7
PI424080,S,50.8
PI424085A,S,46.9
PI424085B,S,47.2
PI424091B,MS,46.5
PI424099A,S,47.3
PI424102B,MS,47.7
PI424104,S,42.2
PI424109A,S,47
PI424109B,S,49.6
PI424115B,S,46.6
PI424116,MS,48.1
PI424117,S,48.2
PI424120,S,50.1
PI424123,S,44.7
PI424124,S,47.1
PI424129,S,43.4
PI424130,S,49.8
PI458536,,53.6
PI458537A,,43.9
PI458537B,,47.6
PI458539A,,48.3
PI458540C,,46
PI458540D,,46.5
PI464866A,,44.7
PI464867,,45.3
PI464868A,,44.5
PI464870,,44.4
PI464871A,,48.6
PI464871B,,50.7
PI464871C,,49.6
PI464889A,,51.1
PI464889B,,48.9
PI464889C,,49
